manager_id,team_id,season_start,season_end
1,1,8/11/2023,5/19/2024
2,2,8/11/2023,5/19/2024
3,3,8/11/2023,5/19/2024
4,4,8/11/2023,5/19/2024
5,5,8/11/2023,5/19/2024
6,6,8/11/2023,5/19/2024
7,7,8/11/2023,5/19/2024
8,8,2/19/2024,5/19/2024
9,9,8/11/2023,5/19/2024
10,10,8/11/2023,5/19/2024
11,11,8/11/2023,5/19/2024
12,12,8/11/2023,5/19/2024
13,13,8/11/2023,5/19/2024
14,14,8/11/2023,5/19/2024
15,15,8/11/2023,5/19/2024
16,16,8/11/2023,5/19/2024
17,17,12/5/2023,5/19/2024
18,18,8/11/2023,5/19/2024
19,19,8/11/2023,5/19/2024
20,20,8/11/2023,5/19/2024
21,17,8/11/2023,12/2/2023
22,8,8/11/2023,2/19/2024
